"Time","Buses.On.Route","RouteID"
"1372868760","0","11Y"
"1372868820","0","11Y"
"1372868880","0","11Y"
"1372868940","0","11Y"
"1372869000","0","11Y"
"1372869060","0","11Y"
"1372869120","0","11Y"
"1372869180","0","11Y"
"1372869240","0","11Y"
"1372869300","0","11Y"
"1372869360","0","11Y"
"1372869420","0","11Y"
"1372869480","0","11Y"
"1372869540","0","11Y"
"1372869600","0","11Y"
"1372869660","0","11Y"
"1372869720","0","11Y"
"1372869780","0","11Y"
"1372869840","0","11Y"
"1372869900","0","11Y"
"1372869960","0","11Y"
"1372870020","0","11Y"
"1372870080","0","11Y"
"1372870140","0","11Y"
"1372870200","0","11Y"
"1372870260","0","11Y"
"1372870320","0","11Y"
"1372870380","0","11Y"
"1372870440","0","11Y"
"1372870500","0","11Y"
"1372870560","0","11Y"
"1372870620","0","11Y"
"1372870680","0","11Y"
"1372870740","0","11Y"
"1372870800","0","11Y"
"1372870860","0","11Y"
"1372870920","0","11Y"
"1372870980","0","11Y"
"1372871040","0","11Y"
"1372871100","0","11Y"
"1372871160","0","11Y"
"1372871220","0","11Y"
"1372871280","0","11Y"
"1372871340","0","11Y"
"1372871400","0","11Y"
"1372871460","0","11Y"
"1372871520","0","11Y"
"1372871580","0","11Y"
"1372871640","0","11Y"
"1372871700","0","11Y"
"1372871760","0","11Y"
"1372871820","0","11Y"
"1372871880","0","11Y"
"1372871940","0","11Y"
"1372872000","0","11Y"
"1372872060","0","11Y"
"1372872120","0","11Y"
"1372872180","0","11Y"
"1372872240","0","11Y"
"1372872300","0","11Y"
"1372872360","0","11Y"
"1372872420","0","11Y"
"1372872480","0","11Y"
"1372872540","0","11Y"
"1372872600","0","11Y"
"1372872660","0","11Y"
"1372872720","0","11Y"
"1372872780","0","11Y"
"1372872840","0","11Y"
"1372872900","0","11Y"
"1372872960","0","11Y"
"1372873020","0","11Y"
"1372873080","0","11Y"
"1372873140","0","11Y"
"1372873200","0","11Y"
"1372873260","0","11Y"
"1372873320","0","11Y"
"1372873380","0","11Y"
"1372873440","0","11Y"
"1372873500","0","11Y"
"1372873560","0","11Y"
"1372873620","0","11Y"
"1372873680","0","11Y"
"1372873740","0","11Y"
"1372873800","0","11Y"
"1372873860","0","11Y"
"1372873920","0","11Y"
"1372873980","0","11Y"
"1372874040","0","11Y"
"1372874100","0","11Y"
"1372874160","0","11Y"
"1372874220","0","11Y"
"1372874280","0","11Y"
"1372874340","0","11Y"
"1372874400","0","11Y"
"1372874460","0","11Y"
"1372874520","0","11Y"
"1372874580","0","11Y"
"1372874640","0","11Y"
"1372874700","0","11Y"
"1372874760","0","11Y"
"1372874820","0","11Y"
"1372874880","0","11Y"
"1372874940","0","11Y"
"1372875000","0","11Y"
"1372875060","0","11Y"
"1372875120","0","11Y"
"1372875180","0","11Y"
"1372875240","0","11Y"
"1372875300","0","11Y"
"1372875360","0","11Y"
"1372875420","0","11Y"
"1372875480","0","11Y"
"1372875540","0","11Y"
"1372875600","0","11Y"
"1372875660","0","11Y"
"1372875720","0","11Y"
"1372875780","0","11Y"
"1372875840","0","11Y"
"1372875900","0","11Y"
"1372875960","0","11Y"
"1372876020","0","11Y"
"1372876080","0","11Y"
"1372876140","0","11Y"
"1372876200","0","11Y"
"1372876260","0","11Y"
"1372876320","0","11Y"
"1372876380","0","11Y"
"1372876440","0","11Y"
"1372876500","0","11Y"
"1372876560","0","11Y"
"1372876620","0","11Y"
"1372876680","0","11Y"
"1372876740","0","11Y"
"1372876800","0","11Y"
"1372876860","0","11Y"
"1372876920","0","11Y"
"1372876980","0","11Y"
"1372877040","0","11Y"
"1372877100","0","11Y"
"1372877160","0","11Y"
"1372877220","0","11Y"
"1372877280","0","11Y"
"1372877340","0","11Y"
"1372877400","0","11Y"
"1372877460","0","11Y"
"1372877520","0","11Y"
"1372877580","0","11Y"
"1372877640","0","11Y"
"1372877700","0","11Y"
"1372877760","0","11Y"
"1372877820","0","11Y"
"1372877880","0","11Y"
"1372877940","0","11Y"
"1372878000","0","11Y"
"1372878060","0","11Y"
"1372878120","0","11Y"
"1372878180","0","11Y"
"1372878240","0","11Y"
"1372878300","0","11Y"
"1372878360","0","11Y"
"1372878420","0","11Y"
"1372878480","0","11Y"
"1372878540","0","11Y"
"1372878600","0","11Y"
"1372878660","0","11Y"
"1372878720","0","11Y"
"1372878780","0","11Y"
"1372878840","0","11Y"
"1372878900","0","11Y"
"1372878960","0","11Y"
"1372879020","0","11Y"
"1372879080","0","11Y"
"1372879140","0","11Y"
"1372879200","0","11Y"
"1372879260","0","11Y"
"1372879320","0","11Y"
"1372879380","0","11Y"
"1372879440","0","11Y"
"1372879500","0","11Y"
"1372879560","0","11Y"
"1372879620","0","11Y"
"1372879680","0","11Y"
"1372879740","0","11Y"
"1372879800","0","11Y"
"1372879860","0","11Y"
"1372879920","0","11Y"
"1372879980","0","11Y"
"1372880040","0","11Y"
"1372880100","0","11Y"
"1372880160","0","11Y"
"1372880220","0","11Y"
"1372880280","0","11Y"
"1372880340","0","11Y"
"1372880400","0","11Y"
"1372880460","0","11Y"
"1372880520","0","11Y"
"1372880580","0","11Y"
"1372880640","0","11Y"
"1372880700","0","11Y"
"1372880760","0","11Y"
"1372880820","0","11Y"
"1372880880","0","11Y"
"1372880940","0","11Y"
"1372881000","0","11Y"
"1372881060","0","11Y"
"1372881120","0","11Y"
"1372881180","0","11Y"
"1372881240","0","11Y"
"1372881300","0","11Y"
"1372881360","0","11Y"
"1372881420","0","11Y"
"1372881480","0","11Y"
"1372881540","0","11Y"
"1372881600","0","11Y"
"1372881660","0","11Y"
"1372881720","0","11Y"
"1372881780","0","11Y"
"1372881840","0","11Y"
"1372881900","0","11Y"
"1372881960","0","11Y"
"1372882020","0","11Y"
"1372882080","0","11Y"
"1372882140","0","11Y"
"1372882200","2","11Y"
"1372882260","2","11Y"
"1372882320","2","11Y"
"1372882380","2","11Y"
"1372882440","2","11Y"
"1372882500","2","11Y"
"1372882560","2","11Y"
"1372882620","2","11Y"
"1372882680","2","11Y"
"1372882740","2","11Y"
"1372882800","2","11Y"
"1372882860","2","11Y"
"1372882920","2","11Y"
"1372882980","2","11Y"
"1372883040","2","11Y"
"1372883100","2","11Y"
"1372883160","2","11Y"
"1372883220","2","11Y"
"1372883280","2","11Y"
"1372883340","2","11Y"
"1372883400","2","11Y"
"1372883460","2","11Y"
"1372883520","2","11Y"
"1372883580","2","11Y"
"1372883640","2","11Y"
