"DirectionNum","EndTime","RouteID","StartTime"
"1","2013-07-03T18:39:00","32v1","2013-07-03T17:29:00"
"1","2013-07-03T19:20:00","32","2013-07-03T17:40:00"
"1","2013-07-03T19:07:00","32v1","2013-07-03T18:00:00"
"1","2013-07-03T19:50:00","32","2013-07-03T18:10:00"
"1","2013-07-03T20:08:00","32","2013-07-03T18:38:00"
"1","2013-07-03T20:38:00","32","2013-07-03T19:08:00"
"1","2013-07-03T21:08:00","32","2013-07-03T19:38:00"
"1","2013-07-03T21:45:00","32","2013-07-03T20:23:00"
"1","2013-07-03T22:45:00","32","2013-07-03T21:27:00"
"1","2013-07-03T23:45:00","32","2013-07-03T22:27:00"
"1","2013-07-04T00:46:00","32","2013-07-03T23:41:00"
"1","2013-07-04T01:41:00","32","2013-07-04T00:41:00"
"1","2013-07-04T02:39:00","32","2013-07-04T01:44:00"
"0","2013-07-03T05:21:00","32","2013-07-03T04:13:00"
"0","2013-07-03T05:46:00","32","2013-07-03T04:38:00"
"0","2013-07-03T06:11:00","32","2013-07-03T05:03:00"
"0","2013-07-03T06:37:00","32","2013-07-03T05:24:00"
"0","2013-07-03T06:28:00","32cv1","2013-07-03T05:35:00"
"0","2013-07-03T06:37:00","32cv1","2013-07-03T05:44:00"
"0","2013-07-03T07:08:00","32","2013-07-03T05:53:00"
"0","2013-07-03T06:56:00","32cv1","2013-07-03T06:02:00"
"0","2013-07-03T07:35:00","32","2013-07-03T06:11:00"
"0","2013-07-03T07:37:00","32cv5","2013-07-03T06:20:00"
"0","2013-07-03T07:29:00","32cv1","2013-07-03T06:30:00"
"0","2013-07-03T08:02:00","32","2013-07-03T06:38:00"
"0","2013-07-03T07:57:00","32cv1","2013-07-03T06:50:00"
"0","2013-07-03T08:02:00","32cv1","2013-07-03T06:55:00"
"0","2013-07-03T08:33:00","32","2013-07-03T06:58:00"
"0","2013-07-03T08:40:00","32","2013-07-03T07:05:00"
"0","2013-07-03T08:21:00","32cv1","2013-07-03T07:14:00"
"0","2013-07-03T08:57:00","32","2013-07-03T07:22:00"
"0","2013-07-03T09:06:00","32","2013-07-03T07:31:00"
"0","2013-07-03T09:15:00","32","2013-07-03T07:40:00"
"0","2013-07-03T08:57:00","32cv1","2013-07-03T07:50:00"
"0","2013-07-03T09:35:00","32","2013-07-03T08:00:00"
"0","2013-07-03T09:13:00","32cv1","2013-07-03T08:09:00"
"0","2013-07-03T09:22:00","32cv1","2013-07-03T08:18:00"
"0","2013-07-03T10:08:00","32","2013-07-03T08:33:00"
"0","2013-07-03T09:40:00","32cv3","2013-07-03T08:48:00"
"0","2013-07-03T10:35:00","32","2013-07-03T09:00:00"
"0","2013-07-03T10:12:00","32cv3","2013-07-03T09:20:00"
"0","2013-07-03T11:05:00","32","2013-07-03T09:30:00"
"0","2013-07-03T10:42:00","32cv3","2013-07-03T09:50:00"
"0","2013-07-03T11:35:00","32","2013-07-03T10:00:00"
"0","2013-07-03T12:05:00","32","2013-07-03T10:30:00"
"0","2013-07-03T12:35:00","32","2013-07-03T11:00:00"
"0","2013-07-03T13:05:00","32","2013-07-03T11:30:00"
"0","2013-07-03T13:35:00","32","2013-07-03T12:00:00"
"0","2013-07-03T14:05:00","32","2013-07-03T12:30:00"
"0","2013-07-03T14:35:00","32","2013-07-03T13:00:00"
"0","2013-07-03T15:05:00","32","2013-07-03T13:30:00"
"0","2013-07-03T15:35:00","32","2013-07-03T14:00:00"
"0","2013-07-03T16:05:00","32","2013-07-03T14:30:00"
"0","2013-07-03T16:38:00","32","2013-07-03T14:59:00"
"0","2013-07-03T17:08:00","32","2013-07-03T15:29:00"
"0","2013-07-03T17:40:00","32","2013-07-03T16:00:00"
"0","2013-07-03T16:43:00","32c","2013-07-03T16:16:00"
"0","2013-07-03T18:10:00","32","2013-07-03T16:30:00"
"0","2013-07-03T17:12:00","32c","2013-07-03T16:46:00"
"0","2013-07-03T17:38:00","32cv4","2013-07-03T16:48:00"
"0","2013-07-03T17:38:00","32cv4","2013-07-03T16:48:00"
"0","2013-07-03T18:40:00","32","2013-07-03T17:00:00"
"0","2013-07-03T18:03:00","32v1","2013-07-03T17:03:00"
"0","2013-07-03T17:43:00","32c","2013-07-03T17:17:00"
"0","2013-07-03T18:08:00","32cv4","2013-07-03T17:18:00"
"0","2013-07-03T19:03:00","32","2013-07-03T17:31:00"
"0","2013-07-03T18:33:00","32v1","2013-07-03T17:33:00"
"0","2013-07-03T18:48:00","32v1","2013-07-03T17:48:00"
"0","2013-07-03T18:16:00","32c","2013-07-03T17:51:00"
"0","2013-07-03T19:33:00","32","2013-07-03T18:01:00"
"0","2013-07-03T20:03:00","32","2013-07-03T18:31:00"
"0","2013-07-03T20:31:00","32","2013-07-03T18:59:00"
"0","2013-07-03T20:55:00","32","2013-07-03T19:35:00"
"0","2013-07-03T21:35:00","32","2013-07-03T20:15:00"
"0","2013-07-03T22:05:00","32","2013-07-03T20:45:00"
"0","2013-07-03T22:35:00","32","2013-07-03T21:15:00"
"0","2013-07-03T23:00:00","32","2013-07-03T21:54:00"
"0","2013-07-03T23:59:00","32","2013-07-03T22:53:00"
"0","2013-07-04T00:53:00","32","2013-07-03T23:54:00"
"0","2013-07-04T01:53:00","32","2013-07-04T00:54:00"
"0","2013-07-04T02:47:00","32","2013-07-04T01:54:00"
"0","2013-07-03T03:42:00","32","2013-07-04T02:49:00"
"1","2013-07-03T05:03:00","34","2013-07-03T04:33:00"
"1","2013-07-03T05:23:00","34","2013-07-03T04:53:00"
"1","2013-07-03T05:44:00","34","2013-07-03T05:14:00"
"1","2013-07-03T06:05:00","34","2013-07-03T05:31:00"
"1","2013-07-03T06:25:00","34","2013-07-03T05:51:00"
"1","2013-07-03T06:48:00","34","2013-07-03T06:09:00"
"1","2013-07-03T07:08:00","34","2013-07-03T06:29:00"
